id,codigo_departamento,nombre
1,AH,Ahuachapán
2,CA,Cabañas
3,CH,Chalatenango
4,CU,Cuscatlán
5,LI,La Libertad
6,MO,Morazán
7,PA,La Paz
8,SA,Santa Ana
9,SM,San Miguel
10,SO,Sonsonate
11,SS,San Salvador
12,SV,San Vicente
13,UN,La Unión
14,US,Usulután
